Date ,OPEN ,HIGH ,LOW ,close 
07-Dec-20,"2,715.00","2,744.00","2,706.15","2,737.70"
08-Dec-20,"2,740.00","2,805.55","2,732.45","2,797.30"
09-Dec-20,"2,815.00","2,840.00","2,793.15","2,810.80"
10-Dec-20,"2,818.00","2,827.30","2,780.25","2,784.30"
11-Dec-20,"2,792.70","2,807.70","2,764.55","2,783.60"
14-Dec-20,"2,802.00","2,804.00","2,756.25","2,797.70"
15-Dec-20,"2,786.00","2,794.70","2,755.00","2,761.55"
16-Dec-20,"2,779.00","2,819.80","2,760.45","2,814.20"
17-Dec-20,"2,811.00","2,853.70","2,805.00","2,838.20"
18-Dec-20,"2,868.00","2,898.00","2,846.20","2,861.00"
21-Dec-20,"2,861.00","2,886.50","2,785.00","2,820.15"
22-Dec-20,"2,834.00","2,883.65","2,818.65","2,872.50"
23-Dec-20,"2,876.05","2,919.00","2,865.45","2,908.75"
24-Dec-20,"2,909.00","2,921.35","2,883.20","2,909.35"
28-Dec-20,"2,910.00","2,949.70","2,902.00","2,929.40"
29-Dec-20,"2,920.00","2,952.00","2,920.00","2,930.50"
30-Dec-20,"2,934.40","2,947.70","2,902.00","2,909.30"
31-Dec-20,"2,900.00","2,905.00","2,845.00","2,862.75"
01-Jan-21,"2,880.00","2,940.00","2,879.00","2,928.25"
04-Jan-21,"2,950.00","3,050.75","2,940.95","3,039.45"
05-Jan-21,"3,039.60","3,114.25","3,039.60","3,093.00"
06-Jan-21,"3,100.00","3,113.50","3,037.20","3,051.50"
07-Jan-21,"3,075.00","3,080.85","3,000.25","3,032.80"
08-Jan-21,"3,090.00","3,128.00","3,060.00","3,120.90"
11-Jan-21,"3,230.00","3,230.00","3,146.55","3,176.45"
12-Jan-21,"3,176.45","3,210.00","3,150.00","3,174.85"
13-Jan-21,"3,175.00","3,177.00","3,126.25","3,158.95"
14-Jan-21,"3,155.00","3,266.50","3,120.40","3,250.70"
15-Jan-21,"3,235.00","3,274.00","3,210.00","3,233.35"
18-Jan-21,"3,250.00","3,256.75","3,187.40","3,221.75"
19-Jan-21,"3,233.00","3,279.00","3,232.00","3,260.70"
20-Jan-21,"3,270.00","3,327.95","3,267.10","3,308.80"
21-Jan-21,"3,305.00","3,309.15","3,262.10","3,273.85"
22-Jan-21,"3,241.90","3,325.00","3,241.90","3,303.10"
25-Jan-21,"3,308.95","3,339.80","3,278.65","3,291.30"
27-Jan-21,"3,300.00","3,306.45","3,227.00","3,261.05"
28-Jan-21,"3,230.00","3,275.00","3,183.80","3,196.55"
29-Jan-21,"3,210.05","3,216.85","3,100.00","3,111.35"
01-Feb-21,"3,100.00","3,165.00","3,044.10","3,139.35"
02-Feb-21,"3,174.00","3,224.00","3,150.00","3,203.45"
03-Feb-21,"3,213.00","3,236.00","3,162.65","3,200.05"
04-Feb-21,"3,216.05","3,237.85","3,176.00","3,188.45"
05-Feb-21,"3,198.95","3,205.85","3,129.00","3,157.95"
08-Feb-21,"3,189.50","3,226.00","3,155.15","3,214.10"
09-Feb-21,"3,195.00","3,245.80","3,164.00","3,176.90"
10-Feb-21,"3,185.00","3,219.40","3,157.30","3,213.30"
11-Feb-21,"3,215.00","3,219.30","3,185.05","3,206.00"
12-Feb-21,"3,184.20","3,245.50","3,182.00","3,190.80"
15-Feb-21,"3,209.00","3,209.00","3,131.55","3,139.85"
16-Feb-21,"3,150.00","3,167.65","3,100.00","3,108.80"
17-Feb-21,"3,105.10","3,132.85","3,045.55","3,073.10"
18-Feb-21,"3,065.00","3,097.90","3,031.00","3,057.35"
19-Feb-21,"3,058.00","3,087.15","3,016.15","3,071.85"
22-Feb-21,"3,096.00","3,096.00","2,943.15","2,958.45"
23-Feb-21,"2,970.00","3,028.00","2,968.00","2,980.20"
24-Feb-21,"2,972.00","3,003.35","2,921.15","2,948.10"
25-Feb-21,"2,974.00","3,029.90","2,968.45","2,995.30"
26-Feb-21,"2,960.00","2,972.35","2,880.00","2,894.30"
01-Mar-21,"2,926.00","2,965.00","2,901.80","2,924.20"
02-Mar-21,"2,960.00","3,025.00","2,948.00","3,006.35"
03-Mar-21,"3,035.00","3,064.00","2,996.90","3,059.10"
04-Mar-21,"3,023.00","3,081.45","3,016.05","3,049.70"
05-Mar-21,"3,016.10","3,063.20","2,996.60","3,008.05"
08-Mar-21,"3,016.00","3,033.00","2,996.00","3,006.95"
09-Mar-21,"3,006.95","3,066.90","2,992.10","3,050.95"
10-Mar-21,"3,075.00","3,093.20","3,060.00","3,070.95"
12-Mar-21,"3,075.00","3,117.00","3,041.35","3,057.95"
15-Mar-21,"3,041.00","3,099.00","3,041.00","3,066.15"
16-Mar-21,"3,060.00","3,141.00","3,060.00","3,110.05"
17-Mar-21,"3,105.00","3,155.00","3,085.30","3,112.95"
18-Mar-21,"3,125.95","3,146.45","2,987.05","3,036.50"
19-Mar-21,"3,030.00","3,099.00","3,005.00","3,050.20"
22-Mar-21,"3,048.70","3,139.45","3,018.65","3,129.65"
23-Mar-21,"3,140.00","3,169.00","3,122.85","3,142.60"
24-Mar-21,"3,111.20","3,152.30","3,111.15","3,121.10"
25-Mar-21,"3,112.20","3,130.85","3,050.00","3,064.85"
26-Mar-21,"3,090.65","3,118.00","3,043.05","3,066.80"
30-Mar-21,"3,083.00","3,188.45","3,060.90","3,158.55"
31-Mar-21,"3,155.00","3,205.00","3,132.00","3,177.85"
01-Apr-21,"3,191.10","3,215.00","3,145.00","3,165.00"
05-Apr-21,"3,171.00","3,263.00","3,151.00","3,238.90"
06-Apr-21,"3,275.00","3,275.00","3,230.00","3,264.70"
07-Apr-21,"3,259.00","3,277.55","3,234.80","3,271.40"
08-Apr-21,"3,270.00","3,335.00","3,266.05","3,317.35"
09-Apr-21,"3,354.00","3,354.35","3,308.00","3,322.25"
12-Apr-21,"3,322.25","3,338.10","3,213.20","3,246.55"
13-Apr-21,"3,214.00","3,214.00","3,073.05","3,104.05"
15-Apr-21,"3,160.30","3,237.25","3,087.45","3,218.95"
16-Apr-21,"3,229.00","3,247.00","3,182.60","3,195.15"
19-Apr-21,"3,169.00","3,189.00","3,135.10","3,161.80"
20-Apr-21,"3,225.00","3,225.35","3,126.35","3,144.55"
22-Apr-21,"3,148.00","3,148.00","3,105.25","3,118.80"
23-Apr-21,"3,105.00","3,119.00","3,091.05","3,109.50"
26-Apr-21,"3,102.05","3,153.00","3,088.05","3,100.80"
27-Apr-21,"3,106.00","3,136.10","3,103.00","3,132.00"
28-Apr-21,"3,149.95","3,151.00","3,112.00","3,124.10"
29-Apr-21,"3,145.60","3,157.35","3,105.50","3,115.25"
30-Apr-21,"3,099.00","3,132.05","3,020.00","3,035.65"
03-May-21,"3,024.90","3,055.00","3,004.00","3,037.00"
04-May-21,"3,062.80","3,090.00","3,035.00","3,049.75"
05-May-21,"3,070.00","3,099.40","3,052.40","3,095.70"
06-May-21,"3,105.50","3,134.00","3,074.00","3,111.45"
07-May-21,"3,133.00","3,159.85","3,111.80","3,132.90"
10-May-21,"3,145.95","3,164.20","3,125.00","3,145.50"
11-May-21,"3,125.00","3,128.10","3,091.15","3,122.60"
12-May-21,"3,120.00","3,120.00","3,070.60","3,087.60"
14-May-21,"3,098.50","3,098.50","3,040.00","3,051.50"
17-May-21,"3,055.00","3,075.20","3,036.00","3,069.75"
18-May-21,"3,100.00","3,124.00","3,078.00","3,088.80"
19-May-21,"3,084.00","3,118.00","3,067.10","3,082.00"
20-May-21,"3,067.10","3,088.80","3,052.10","3,060.00"
21-May-21,"3,061.00","3,088.20","3,055.10","3,080.50"
24-May-21,"3,081.50","3,105.00","3,072.00","3,081.50"
25-May-21,"3,092.00","3,128.25","3,082.10","3,114.00"
26-May-21,"3,120.00","3,165.00","3,103.80","3,158.50"
27-May-21,"3,161.95","3,217.75","3,161.80","3,180.00"
28-May-21,"3,189.50","3,198.00","3,135.65","3,143.60"
31-May-21,"3,150.00","3,170.35","3,128.60","3,159.15"
01-Jun-21,"3,168.60","3,169.95","3,132.00","3,153.00"
02-Jun-21,"3,150.85","3,159.45","3,115.00","3,129.45"
03-Jun-21,"3,154.55","3,154.55","3,122.65","3,141.25"
04-Jun-21,"3,128.00","3,156.85","3,125.00","3,143.75"
07-Jun-21,"3,145.00","3,190.45","3,133.60","3,183.20"
08-Jun-21,"3,198.00","3,231.00","3,187.20","3,200.15"
09-Jun-21,"3,202.00","3,220.00","3,186.20","3,200.25"
10-Jun-21,"3,210.00","3,224.00","3,193.00","3,216.80"
11-Jun-21,"3,211.55","3,309.00","3,211.00","3,273.80"
14-Jun-21,"3,279.00","3,308.70","3,270.35","3,276.35"
15-Jun-21,"3,298.00","3,298.00","3,251.55","3,262.75"
16-Jun-21,"3,262.10","3,294.70","3,253.00","3,274.35"
17-Jun-21,"3,265.50","3,336.05","3,260.00","3,317.75"
18-Jun-21,"3,350.90","3,358.00","3,275.00","3,297.30"
21-Jun-21,"3,265.00","3,286.00","3,251.70","3,273.10"
