Date,High,Low,Open,Close,Volume,Adj Close
31-12-2009,7.619643211,7.519999981,7.611785889,7.526071072,352410800,6.452589512
04-01-2010,7.660714149,7.585000038,7.622499943,7.643214226,493729600,6.553023338
05-01-2010,7.699643135,7.616071224,7.664286137,7.656428814,601904800,6.56435442
06-01-2010,7.686786175,7.526785851,7.656428814,7.534643173,552160000,6.459939957
07-01-2010,7.571428776,7.466071129,7.5625,7.520713806,477131200,6.44799757
08-01-2010,7.571428776,7.466429234,7.510714054,7.570713997,447610800,6.490866184
11-01-2010,7.607142925,7.444643021,7.599999905,7.503929138,462229600,6.433607578
12-01-2010,7.491786003,7.372142792,7.471070766,7.418570995,594459600,6.360423565
13-01-2010,7.533214092,7.289286137,7.423929214,7.523213863,605892000,6.450140953
14-01-2010,7.516428947,7.465000153,7.503929138,7.479642868,432894000,6.412784576
15-01-2010,7.557143211,7.352499962,7.533214092,7.354642868,594067600,6.305613995
19-01-2010,7.685357094,7.401429176,7.440357208,7.679999828,730007600,6.584564686
20-01-2010,7.698214054,7.482142925,7.675356865,7.561786175,612152800,6.483211994
21-01-2010,7.61821413,7.40035677,7.574285984,7.431070805,608154400,6.37114048
22-01-2010,7.410714149,7.041429043,7.385000229,7.0625,881767600,6.055140495
25-01-2010,7.310713768,7.149642944,7.232500076,7.252500057,1065699600,6.218040466
26-01-2010,7.632500172,7.235000134,7.35535717,7.355000019,1867110000,6.305920601
27-01-2010,7.520713806,7.126070976,7.387499809,7.424285889,1722568400,6.365323544
28-01-2010,7.339285851,7.096428871,7.318929195,7.117499828,1173502400,6.102293968
29-01-2010,7.221428871,6.794642925,7.181428909,6.859285831,1245952400,5.880911827
01-02-2010,7,6.83214283,6.870357037,6.954642773,749876400,5.962667465
02-02-2010,7.011428833,6.906428814,6.996786118,6.994999886,698342400,5.997270584
03-02-2010,7.150000095,6.943571091,6.970356941,7.115356922,615328000,6.100458145
04-02-2010,7.084642887,6.841785908,7.026071072,6.858929157,757652000,5.880608559
05-02-2010,7,6.816071033,6.879642963,6.980713844,850306800,5.985020638
08-02-2010,7.067142963,6.928571224,6.988928795,6.932857037,478270800,5.943990707
09-02-2010,7.053571224,6.955357075,7.014999866,7.00678587,632886800,6.007372379
10-02-2010,7.021429062,6.937857151,6.996070862,6.968571186,370361600,5.974610329
11-02-2010,7.133928776,6.93071413,6.960000038,7.095356941,550345600,6.083311558
12-02-2010,7.20142889,6.982142925,7.07535696,7.156428814,655468800,6.135674477
16-02-2010,7.274642944,7.197143078,7.212142944,7.264286041,543737600,6.228145123
17-02-2010,7.296785831,7.17357111,7.292500019,7.233929157,436396800,6.20211792
18-02-2010,7.281785965,7.175714016,7.201070786,7.247499943,422825200,6.2137537
19-02-2010,7.257143021,7.182499886,7.209286213,7.202499866,415469600,6.175172329
22-02-2010,7.232142925,7.113928795,7.226428986,7.157856941,390563600,6.13689661
23-02-2010,7.190357208,6.989643097,7.142857075,7.037857056,575094800,6.034014225
24-02-2010,7.19428587,7.065713882,7.079642773,7.166429043,460566400,6.144246101
25-02-2010,7.244999886,7.031785965,7.049285889,7.214285851,665126000,6.185276985
26-02-2010,7.327499866,7.214285851,7.227857113,7.307857037,507460800,6.26550293
