,Date,Open,High,Low,Close
87,01-Mar-21,2924.2,2965.0,2901.8,2924.2
88,02-Mar-21,3006.35,3025.0,2948.0,3006.35
89,03-Mar-21,3059.1,3064.0,2996.9,3059.1
90,04-Mar-21,3049.7,3081.45,3016.05,3049.7
91,05-Mar-21,3008.05,3063.2,2996.6,3008.05
92,08-Mar-21,3006.95,3033.0,2996.0,3006.95
93,09-Mar-21,3050.95,3066.9,2992.1,3050.95
94,10-Mar-21,3070.95,3093.2,3060.0,3070.95
95,12-Mar-21,3057.95,3117.0,3041.35,3057.95
96,15-Mar-21,3066.15,3099.0,3041.0,3066.15
97,16-Mar-21,3110.05,3141.0,3060.0,3110.05
98,17-Mar-21,3112.95,3155.0,3085.3,3112.95
99,18-Mar-21,3036.5,3146.45,2987.05,3036.5
100,19-Mar-21,3050.2,3099.0,3005.0,3050.2
101,22-Mar-21,3129.65,3139.45,3018.65,3129.65
102,23-Mar-21,3142.6,3169.0,3122.85,3142.6
103,24-Mar-21,3121.1,3152.3,3111.15,3121.1
104,25-Mar-21,3064.85,3130.85,3050.0,3064.85
105,26-Mar-21,3066.8,3118.0,3043.05,3066.8
106,30-Mar-21,3158.55,3188.45,3060.9,3158.55
107,31-Mar-21,3177.85,3205.0,3132.0,3177.85
108,01-Apr-21,3165.0,3215.0,3145.0,3165.0
109,05-Apr-21,3238.9,3263.0,3151.0,3238.9
110,06-Apr-21,3264.7,3275.0,3230.0,3264.7
111,07-Apr-21,3271.4,3277.55,3234.8,3271.4
112,08-Apr-21,3317.35,3335.0,3266.05,3317.35
113,09-Apr-21,3322.25,3354.35,3308.0,3322.25
114,12-Apr-21,3246.55,3338.1,3213.2,3246.55
115,13-Apr-21,3104.05,3214.0,3073.05,3104.05
116,15-Apr-21,3218.95,3237.25,3087.45,3218.95
117,16-Apr-21,3195.15,3247.0,3182.6,3195.15
118,19-Apr-21,3161.8,3189.0,3135.1,3161.8
119,20-Apr-21,3144.55,3225.35,3126.35,3144.55
120,22-Apr-21,3118.8,3148.0,3105.25,3118.8
121,23-Apr-21,3109.5,3119.0,3091.05,3109.5
122,26-Apr-21,3100.8,3153.0,3088.05,3100.8
123,27-Apr-21,3132.0,3136.1,3103.0,3132.0
124,28-Apr-21,3124.1,3151.0,3112.0,3124.1
125,29-Apr-21,3115.25,3157.35,3105.5,3115.25
126,30-Apr-21,3035.65,3132.05,3020.0,3035.65
127,03-May-21,3037.0,3055.0,3004.0,3037.0
128,04-May-21,3049.75,3090.0,3035.0,3049.75
129,05-May-21,3095.7,3099.4,3052.4,3095.7
130,06-May-21,3111.45,3134.0,3074.0,3111.45
131,07-May-21,3132.9,3159.85,3111.8,3132.9
132,10-May-21,3145.5,3164.2,3125.0,3145.5
133,11-May-21,3122.6,3128.1,3091.15,3122.6
134,12-May-21,3087.6,3120.0,3070.6,3087.6
135,14-May-21,3051.5,3098.5,3040.0,3051.5
136,17-May-21,3069.75,3075.2,3036.0,3069.75
137,18-May-21,3088.8,3124.0,3078.0,3088.8
138,19-May-21,3082.0,3118.0,3067.1,3082.0
139,20-May-21,3060.0,3088.8,3052.1,3060.0
140,21-May-21,3080.5,3088.2,3055.1,3080.5
141,24-May-21,3081.5,3105.0,3072.0,3081.5
142,25-May-21,3114.0,3128.25,3082.1,3114.0
143,26-May-21,3158.5,3165.0,3103.8,3158.5
144,27-May-21,3180.0,3217.75,3161.8,3180.0
145,28-May-21,3143.6,3198.0,3135.65,3143.6
146,31-May-21,3159.15,3170.35,3128.6,3159.15
147,01-Jun-21,3153.0,3169.95,3132.0,3153.0
148,02-Jun-21,3129.45,3159.45,3115.0,3129.45
149,03-Jun-21,3141.25,3154.55,3122.65,3141.25
